支持编号,支持日期,支持者,档位名称,数量,单价,金额,支付状态,发货状态
MD-2025070001,2025-07-24,张*欣,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070002,2025-07-25,李*然,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070003,2025-08-08,王*喵,单盒（常规）,1,95,95,已支付,已发货
MD-2025070004,2025-08-06,陈*豪,明盒（常规）,1,100,100,已支付,已发货
MD-2025070005,2025-07-17,刘*宇,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070006,2025-07-27,赵*彤,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070007,2025-07-20,周*远,端盒（6只）,1,546,546,已支付,已发货
MD-2025070008,2025-08-10,吴*琪,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070009,2025-07-30,郑*杰,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070010,2025-08-04,钱*琳,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070011,2025-07-15,孙*浩,单盒（常规）,1,95,95,已支付,已发货
MD-2025070012,2025-07-29,马*萌,明盒（常规）,1,100,100,已支付,已发货
MD-2025070013,2025-08-11,朱*霖,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070014,2025-08-08,胡*鑫,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070015,2025-07-29,林*妍,端盒（6只）,1,546,546,已支付,已发货
MD-2025070016,2025-08-01,何*阳,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070017,2025-08-11,郭*文,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070018,2025-08-13,高*悦,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070019,2025-07-23,罗*俊,单盒（常规）,1,95,95,已支付,已发货
MD-2025070020,2025-07-24,梁*婷,明盒（常规）,1,100,100,已支付,已发货
MD-2025070021,2025-07-17,宋*明,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070022,2025-08-07,唐*怡,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070023,2025-08-14,韩*辰,端盒（6只）,1,546,546,已支付,已发货
MD-2025070024,2025-08-02,冯*曦,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070025,2025-08-12,董*雨,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070026,2025-08-08,袁*华,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070027,2025-07-21,邓*宇,单盒（常规）,1,95,95,已支付,已发货
MD-2025070028,2025-08-02,许*涵,明盒（常规）,1,100,100,已支付,已发货
MD-2025070029,2025-07-16,傅*琪,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070030,2025-07-26,沈*杰,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070031,2025-07-22,曾*琳,端盒（6只）,1,546,546,已支付,已发货
MD-2025070032,2025-08-13,彭*浩,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070033,2025-07-17,吕*静,随机单盒（早鸟）,1,89,89,已支付,已发货
